segment_type,start_change_direction,end_change_direction,normalized_percent,segment_count,avg_knee_angle_deg,avg_torso_inclination_abs_deg,avg_neck_inclination_abs_deg
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,5,4,160.05,31.64,53.94
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,6,4,159.03,31.77,53.97
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,7,4,157.93,31.91,53.98
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,8,4,156.78,32.04,53.97
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,9,4,155.57,32.17,53.98
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,10,4,154.23,32.31,54.02
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,11,4,152.82,32.45,54.08
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,12,4,151.32,32.61,54.15
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,13,4,149.75,32.77,54.22
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,14,4,148.15,32.94,54.27
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,15,4,146.5,33.13,54.31
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,16,4,144.88,33.33,54.36
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,17,4,143.26,33.54,54.41
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,18,4,141.65,33.75,54.45
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,19,4,140.05,33.97,54.47
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,20,4,138.49,34.18,54.54
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,21,4,136.95,34.4,54.66
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,22,4,135.47,34.6,54.83
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,23,4,134.04,34.81,55.05
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,24,4,132.66,35.02,55.29
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,25,4,131.32,35.21,55.57
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,26,4,130.01,35.41,55.9
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,27,4,128.7,35.6,56.24
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,28,4,127.4,35.81,56.58
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,29,4,126.1,36.03,56.91
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,30,4,124.77,36.23,57.24
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,31,4,123.42,36.45,57.55
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,32,4,122.04,36.67,57.84
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,33,4,120.61,36.88,58.1
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,34,4,119.13,37.09,58.34
